RGB.R byte;RGB.G byte;RGB.B byte;RGB.R %;RGB.G %;RGB.B %;RGB hexadecimal;HSV.H °;HSV.S %;HSV.V %;HSV.C %;HSL.H °;HSL.S %;HSL.L %;HSL.C %;HWB.H °;HWB.W %;HWB.B %;XYZ.X %;XYZ.Y %;XYZ.Z %;xyY.x %;xyY.y %;xyY.Y %;L*u*v*.L %;L*u*v*.u %;L*u*v*.v %;LCHuv.L %;LCHuv.C %;LCHuv.H °;L*A*B*.L %;L*A*B*.a signed max=127;L*A*B*.b signed max=127;LCHab.L %;LCHab.C %;LCHab.H °;Hunter LAB.L %;Hunter LAB.a signed %;Hunter LAB.b signed %;LMS.L %;LMS.M %;LMS.S °;Percentage
33;24;42;0.129412;0.0941176;0.164706;#21182A;270;42.8571;16.4706;7.05882;270;27.2727;12.9412;7.05882;270;9.41176;83.5294;1.37167;1.14378;2.33855;0.282586;0.235636;1.14378;10.136;2.23395;-8.61037;10.136;8.89545;284.545;10.136;9.07765;-10.5317;10.136;13.904;310.759;10.6948;4.82464;-6.29335;1.11675;0.99072;2.3194;0.0852542
23;13;32;0.0901961;0.0509804;0.12549;#170D20;271.579;59.375;12.549;7.45098;271.579;42.2222;8.82353;7.45098;271.579;5.09804;87.451;0.757933;0.574298;1.43714;0.273684;0.207375;0.574298;5.18761;1.59939;-6.11094;5.18761;6.31677;284.667;5.18761;8.68769;-10.735;5.18761;13.81;308.983;7.57824;5.07479;-6.59571;0.56874;0.450355;1.42337;0.0795087
40;21;31;0.156863;0.0823529;0.121569;#28151F;328.421;47.5;15.6863;7.45098;328.421;31.1475;11.9608;7.45098;328.421;8.23529;84.3137;1.39058;1.08646;1.43252;0.355686;0.277899;1.08646;9.69189;6.95038;-2.97006;9.69189;7.55837;336.862;9.69189;11.5485;-2.91832;9.69189;11.9115;345.818;10.4233;6.22694;-1.47407;1.25312;0.874596;1.42769;0.0719126
112;121;75;0.439216;0.47451;0.294118;#70794B;71.7391;38.0165;47.451;18.0392;71.7391;23.4694;38.4314;18.0392;71.7391;29.4118;52.549;14.7895;17.6276;9.27859;0.354701;0.422768;17.6276;49.0413;-3.29444;30.8361;49.0413;31.0116;96.0982;49.0413;-11.4188;24.129;49.0413;26.6946;115.325;41.9852;-8.48699;14.5397;16.9037;19.5735;9.40866;0.0712691
51;39;49;0.2;0.152941;0.192157;#332731;310;23.5294;20;4.70588;310;13.3333;17.6471;4.70588;310;15.2941;80;2.64508;2.37666;3.22454;0.320761;0.28821;2.37666;17.3514;5.12667;-5.05739;17.3514;7.20138;315.39;17.3514;7.76414;-4.37507;17.3514;8.91197;330.599;15.4164;4.54195;-2.54305;2.43567;2.19298;3.21127;0.0657059
62;35;32;0.243137;0.137255;0.12549;#3E2320;6;48.3871;24.3137;11.7647;6;31.9149;18.4314;11.7647;6;12.549;75.6863;2.84849;2.33072;1.66607;0.416125;0.340485;2.33072;17.1351;15.2205;4.82987;17.1351;15.9684;17.6057;17.1351;12.485;7.47692;17.1351;14.5527;30.9161;15.2667;7.52129;3.51544;2.81808;1.96236;1.67866;0.0640431
11;7;26;0.0431373;0.027451;0.101961;#0B071A;252.632;73.0769;10.1961;7.45098;252.632;57.5758;6.47059;7.45098;252.632;2.7451;89.8039;0.400393;0.297675;1.01344;0.233941;0.173925;0.297675;2.68889;0.165717;-4.52547;2.68889;4.5285;272.097;2.68889;4.81171;-9.84815;2.68889;10.9608;296.04;5.45596;3.90401;-7.7789;0.256706;0.229769;1.00187;0.0617711
86;53;36;0.337255;0.207843;0.141176;#563524;20.4;58.1395;33.7255;19.6078;20.4;40.9836;23.9216;19.6078;20.4;14.1176;66.2745;5.42962;4.65248;2.28078;0.439187;0.376326;4.65248;25.7208;22.3456;14.0213;25.7208;26.3804;32.1073;25.7208;12.7352;16.8003;25.7208;21.0817;52.8366;21.5696;8.47078;7.9496;5.60713;4.09121;2.32248;0.0602166
129;138;88;0.505882;0.541176;0.345098;#818A58;70.8;36.2319;54.1176;19.6078;70.8;22.1239;44.3137;19.6078;70.8;34.5098;45.8824;19.9032;23.5488;12.7275;0.354279;0.419171;23.5488;55.6332;-3.09851;33.9431;55.6332;34.0843;95.2158;55.6332;-11.8491;25.7163;55.6332;28.3148;114.739;48.5271;-9.2644;16.3838;22.6347;26.0478;12.8962;0.0470515
147;152;98;0.576471;0.596078;0.384314;#939862;65.5556;35.5263;59.6078;21.1765;65.5556;21.6;49.0196;21.1765;65.5556;38.4314;40.3922;25.4656;29.5417;15.9135;0.359071;0.416545;29.5417;61.2567;-0.444972;37.1053;61.2567;37.108;90.6871;61.2567;-10.6674;27.8519;61.2567;29.8249;110.957;54.3523;-8.71744;18.4105;28.7679;32.3265;16.1275;0.0434755
111;70;40;0.435294;0.27451;0.156863;#6F4628;25.3521;63.964;43.5294;27.8431;25.3521;47.0199;29.6078;27.8431;25.3521;15.6863;56.4706;9.12932;7.91384;3.05379;0.454264;0.393783;7.91384;33.8028;30.1951;22.6562;33.8028;37.7498;36.882;33.8028;14.3159;25.1015;33.8028;28.8969;60.3031;28.1315;10.3617;12.1754;9.59382;7.02898;3.13811;0.0334024
79;91;68;0.309804;0.356863;0.266667;#4F5B44;91.3043;25.2747;35.6863;9.01961;91.3043;14.4654;31.1765;9.01961;91.3043;26.6667;64.3137;8.00875;9.56172;6.89139;0.327398;0.390883;9.56172;37.044;-5.63794;15.2515;37.044;16.2602;110.288;37.044;-9.43562;11.7515;37.044;15.0708;128.762;30.922;-6.32979;7.00814;8.85737;10.6381;6.93105;0.0304699
93;105;72;0.364706;0.411765;0.282353;#5D6948;81.8182;31.4286;41.1765;12.9412;81.8182;18.6441;34.7059;12.9412;81.8182;28.2353;58.8235;10.7353;12.8981;8.05366;0.338792;0.407047;12.8981;42.6094;-5.43081;22.1455;42.6094;22.8017;103.779;42.6094;-10.9344;17.0967;42.6094;20.2943;122.602;35.914;-7.69473;10.2694;12.1;14.3903;8.12759;0.0302193
69;75;55;0.270588;0.294118;0.215686;#454B37;78;26.6667;29.4118;7.84314;78;15.3846;25.4902;7.84314;78;21.5686;70.5882;5.65984;6.5732;4.58427;0.336548;0.390859;6.5732;30.8148;-2.40285;13.2052;30.8148;13.4221;100.313;30.8148;-6.53777;11.1381;30.8148;12.9151;120.412;25.6383;-4.15739;6.17856;6.22689;7.20371;4.61455;0.029462
73;58;54;0.286275;0.227451;0.211765;#493A36;12.6316;26.0274;28.6275;7.45098;12.6316;14.9606;24.902;7.45098;12.6316;21.1765;71.3725;4.92661;4.70911;4.13875;0.357662;0.341872;4.70911;25.8894;8.80076;4.50638;25.8894;9.88741;27.1144;25.8894;5.86818;4.97714;25.8894;7.69464;40.3032;21.7005;3.76652;2.8051;4.96112;4.5526;4.14887;0.0279929
128;83;41;0.501961;0.32549;0.160784;#805329;28.9655;67.9688;50.1961;34.1176;28.9655;51.4793;33.1373;34.1176;28.9655;16.0784;49.8039;12.3965;10.9369;3.55555;0.461025;0.406744;10.9369;39.474;34.4637;29.6149;39.474;45.44;40.6726;39.474;14.4531;31.7186;39.474;34.8563;65.5028;33.071;10.9734;15.5509;13.2052;9.86494;3.68246;0.0275715
190;147;66;0.745098;0.576471;0.258824;#BE9342;39.1935;65.2632;74.5098;48.6275;39.1935;48.8189;50.1961;48.6275;39.1935;25.8824;25.4902;32.6542;32.2102;9.65049;0.438224;0.432265;32.2102;63.5162;34.6222;52.6893;63.5162;63.0465;56.691;63.5162;7.44747;47.9253;63.5162;48.5005;81.167;56.754;6.51607;27.5778;36.1992;31.7601;10.0263;0.0268825
92;80;57;0.360784;0.313725;0.223529;#5C5039;39.4286;38.0435;36.0784;13.7255;39.4286;23.4899;29.2157;13.7255;39.4286;22.3529;63.9216;8.02097;8.30833;5.05126;0.375152;0.388593;8.30833;34.617;8.65695;16.9139;34.617;19.0006;62.8955;34.617;1.13738;15.4068;34.617;15.4488;85.7779;28.8242;0.781019;8.53368;8.6267;8.49066;5.10447;0.0261821
143;101;47;0.560784;0.396078;0.184314;#8F652F;33.75;67.1329;56.0784;37.6471;33.75;50.5263;37.2549;37.6471;33.75;18.4314;43.9216;16.4955;15.3535;4.78352;0.450296;0.419123;15.3535;46.1147;32.8645;36.4453;46.1147;49.0747;47.9575;46.1147;11.1627;36.5233;46.1147;38.1911;73.0052;39.1836;8.80425;18.7518;17.907;14.4856;4.96241;0.0254647
164;166;108;0.643137;0.65098;0.423529;#A4A66C;62.069;34.9398;65.098;22.7451;62.069;24.5763;53.7255;22.7451;62.069;42.3529;34.902;31.6531;36.2482;19.5136;0.362102;0.414668;36.2482;66.7091;1.63947;40.1483;66.7091;40.1818;87.6616;66.7091;-9.93088;29.8418;66.7091;31.4508;108.407;60.2065;-8.43251;20.4063;35.5986;39.3792;19.7776;0.0225264
166;121;54;0.65098;0.47451;0.211765;#A67936;35.8929;67.4699;65.098;43.9216;35.8929;50.9091;43.1373;43.9216;35.8929;21.1765;34.902;23.2306;22.0499;6.52184;0.448447;0.425654;22.0499;54.0799;35.7979;44.2373;54.0799;56.9072;51.0193;54.0799;10.5472;42.5745;54.0799;43.8615;76.086;46.9573;8.77717;22.9282;25.4368;21.1244;6.78315;0.0225093
211;175;87;0.827451;0.686275;0.341176;#D3AF57;42.5806;58.7678;82.7451;48.6275;42.5806;58.4906;58.4314;48.6275;42.5806;34.1176;17.2549;43.9163;45.1994;15.4262;0.420083;0.432357;45.1994;73.023;29.2721;58.1123;73.023;65.0684;63.2649;73.023;2.8243;49.2251;73.023;49.3061;86.7162;67.2305;2.57751;30.9432;49.0943;45.9206;15.9166;0.0182045
230;197;104;0.901961;0.772549;0.407843;#E6C568;44.2857;54.7826;90.1961;49.4118;44.2857;71.5909;65.4902;49.4118;44.2857;40.7843;9.80392;55.1003;57.7577;21.3401;0.410589;0.430391;57.7577;80.6039;27.0423;61.9686;80.6039;67.6121;66.4241;80.6039;0.513493;50.3846;80.6039;50.3872;89.4161;75.9985;0.485193;33.6599;61.7246;59.4053;21.9366;0.0160293
141;133;74;0.552941;0.521569;0.290196;#8D854A;52.8358;47.5177;55.2941;26.2745;52.8358;31.1628;42.1569;26.2745;52.8358;29.0196;44.7059;20.6086;22.9328;9.81813;0.386221;0.429779;22.9328;55.0031;8.11915;39.6393;55.0031;40.4622;78.4244;55.0031;-5.66629;32.7342;55.0031;33.221;99.8206;47.8882;-4.50006;19.4806;23.3594;24.4882;10.0289;0.0128747
